Metal,Substrate,Me_MagpieData mean Column,Me_MagpieData mean CovalentRadius,Me_MagpieData mean NdValence,Me_MagpieData mean GSbandgap,Me_MagpieData mean GSmagmom,Me_MagpieData mean SpaceGroupNumber,Ce_MagpieData mean MeltingT,Ce_MagpieData mean NpUnfilled,Testing temperature (K),Wetting angle
Al0.724Si0.124Mg0.152,Si1O2,11.452,122.8,0,0.095852,0,220.536,598.8666667,2.666666667,1323,91.1
Al0.724Si0.124Mg0.152,Si1O2,11.452,122.8,0,0.095852,0,220.536,598.8666667,2.666666667,1373,85
Fe,Al2O3Si1O2,8,132,6,0,2.1106628,229,478.4925,3,1873,77
Fe,Al2O3Si1O2,8,132,6,0,2.1106628,229,478.4925,3,1823,105
Fe,Al2O3Si1O2,8,132,6,0,2.1106628,229,478.4925,3,1823,79
Ag,Si1O2,11,145,10,0,0,225,598.8666667,2.666666667,1173,96
Ag0.49Cu0.49Ti0.02,Si1O2,10.86,138.93,9.84,0,4.51E-07,224.38,598.8666667,2.666666667,1173,12
Ag0.47Cu0.49Ti0.04,Si1O2,10.72,139.23,9.68,0,9.01E-07,223.76,598.8666667,2.666666667,1173,10
Ag0.432Cu0.49Ti0.078,Si1O2,10.454,139.8,9.376,0,1.76E-06,222.582,598.8666667,2.666666667,1173,10
Ag0.47Cu0.49Ti0.04,Si1O2,10.72,139.23,9.68,0,9.01E-07,223.76,598.8666667,2.666666667,1123,10
Ag0.47Cu0.49Ti0.04,Si1O2,10.72,139.23,9.68,0,9.01E-07,223.76,598.8666667,2.666666667,1223,10
Cu,Si1O2,11,132,10,0,0,225,598.8666667,2.666666667,1473,117
Cu0.95Al0.05,Si1O2,11.1,131.45,9.5,0,0,225,598.8666667,2.666666667,1473,117
Cu0.85Al0.15,Si1O2,11.3,130.35,8.5,0,0,225,598.8666667,2.666666667,1473,116
Cu0.7Al0.3,Si1O2,11.6,128.7,7,0,0,225,598.8666667,2.666666667,1473,114
Cu0.5Al0.5,Si1O2,12,126.5,5,0,0,225,598.8666667,2.666666667,1473,95
Cu,Al2O3,11,132,10,0,0,225,406.268,3.2,1473,119.1
Cu0.95Al0.05,Al2O3,11.1,131.45,9.5,0,0,225,406.268,3.2,1473,107.3
Cu0.85Al0.15,Al2O3,11.3,130.35,8.5,0,0,225,406.268,3.2,1473,107.6
Cu0.7Al0.3,Al2O3,11.6,128.7,7,0,0,225,406.268,3.2,1473,113.9
Cu0.5Al0.5,Al2O3,12,126.5,5,0,0,225,406.268,3.2,1473,100.9
Cu,Al2O3,11,132,10,0,0,225,406.268,3.2,1473,115.7
Cu0.95Al0.05,Al2O3,11.1,131.45,9.5,0,0,225,406.268,3.2,1473,108.9
Cu0.85Al0.15,Al2O3,11.3,130.35,8.5,0,0,225,406.268,3.2,1473,108.3
Cu0.7Al0.3,Al2O3,11.6,128.7,7,0,0,225,406.268,3.2,1473,109.4
Cu0.5Al0.5,Al2O3,12,126.5,5,0,0,225,406.268,3.2,1473,99.1
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,1073,94
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,1173,96
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,1273,88
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,1323,64
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,1373,56
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,1423,47
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,1473,45
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,1523,37
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,973,148
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,973,112
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,1023,140
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,1073,88
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,1073,67
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,1073,106
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,1123,95
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,1123,68
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,1173,70
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,1173,93
Al,Si1O2,13,121,0,0,0,225,598.8666667,2.666666667,1223,76
Fe,Al2O3,8,132,6,0,2.1106628,229,406.268,3.2,1823,128
Fe,Al2O3,8,132,6,0,2.1106628,229,406.268,3.2,1823,124
Fe,Al2O3,8,132,6,0,2.1106628,229,406.268,3.2,1823,121
