Metal,Substrate,Me_MagpieData mean Column,Me_MagpieData mean CovalentRadius,Me_MagpieData mean NdValence,Me_MagpieData mean GSbandgap,Me_MagpieData mean GSmagmom,Me_MagpieData mean SpaceGroupNumber,Ce_MagpieData mean MeltingT,Ce_MagpieData mean NpUnfilled,Testing temperature (K),Wetting angle
Fe0.704Cr0.202Ni0.094,Al2O3,7.784,132.662,5.986,0,1.541873713,228.624,406.268,3.2,1753,105
Fe,Mg0.5Al0.5O0.5N0.5,8,132,6,0,2.1106628,229,493.58,2.5,1823,129.7
Fe,Mg0.5Al0.5O0.5N0.5,8,132,6,0,2.1106628,229,493.58,2.5,1838,132.5
Fe,Mg0.5Al0.5O0.5N0.5,8,132,6,0,2.1106628,229,493.58,2.5,1848,130.4
Fe,Mg0.5Al0.5O0.5N0.5,8,132,6,0,2.1106628,229,493.58,2.5,1858,129.9
Fe,Mg0.5Al0.5O0.5N0.5,8,132,6,0,2.1106628,229,493.58,2.5,1873,129.5
Fe,Mg0.5Al0.5O0.5N0.5,8,132,6,0,2.1106628,229,493.58,2.5,1823,97
Fe,Mg0.5Al0.5O0.5N0.5,8,132,6,0,2.1106628,229,493.58,2.5,1823,78
Ni,Al2O3,10,124,8,0,0.5953947,225,406.268,3.2,1743,112
Ni0.9Cr0.1,Al2O3,9.6,125.5,7.7,0,0.53585523,225.4,406.268,3.2,1743,95
Ni0.78Cr0.22,Al2O3,9.12,127.3,7.34,0,0.464407866,225.88,406.268,3.2,1743,90
Ni0.81Fe0.19,Al2O3,9.62,125.52,7.62,0,0.883295639,225.76,406.268,3.2,1743,112
Ni0.632Fe0.148Cr0.22,Al2O3,8.824,128.484,7.044,0,0.688667545,226.472,406.268,3.2,1743,90
Ni0.55Pd0.45,Al2O3,10,130.75,8.9,0,0.327467085,225,406.268,3.2,1523,112
Ni0.549Pd0.351Cr0.1,Al2O3,9.6,130.765,8.402,0,0.32687169,225.4,406.268,3.2,1523,112
Ni0.545Pd0.45Cr0.005,Al2O3,9.98,130.825,8.885,0,0.324490112,225.02,406.268,3.2,1523,108
Ni0.583Pd0.405Cr0.012,Al2O3,9.952,130.255,8.774,0,0.34711511,225.048,406.268,3.2,1523,110
Ni0.499Pd0.448Cr0.053,Al2O3,9.788,131.515,8.737,0,0.297101955,225.212,406.268,3.2,1523,107
Ni0.4Pd0.445Cr0.155,Al2O3,9.38,133,8.425,0,0.23815788,225.62,406.268,3.2,1523,113
Ni,Al2O3,10,124,8,0,0.5953947,225,406.268,3.2,1773,113
Ni0.95Ti0.05,Al2O3,9.7,125.8,7.7,0,0.565626092,223.45,406.268,3.2,1773,83
Ni0.936Ti0.064,Al2O3,9.616,126.304,7.616,0,0.557290881,223.016,406.268,3.2,1773,72
Ni0.871Ti0.129,Al2O3,9.226,128.644,7.226,0,0.518591691,221.001,406.268,3.2,1773,63
Ni0.852Ti0.148,Al2O3,9.112,129.328,7.112,0,0.507279619,220.412,406.268,3.2,1773,61
Ni0.803Ti0.197,Al2O3,8.818,131.092,6.818,0,0.478106383,218.893,406.268,3.2,1773,50
Ni0.74Ti0.26,Al2O3,8.44,133.36,6.44,0,0.440597937,216.94,406.268,3.2,1773,40
Ni0.9Mo0.1,Al2O3,9.6,127,7.7,0,0.53585523,225.4,406.268,3.2,1773,108
Ni0.861Mo0.096Ti0.043,Al2O3,9.358,128.428,7.454,0,0.512635806,224.051,406.268,3.2,1773,88
Ni0.81Mo0.09Ti0.1,Al2O3,9.04,130.3,7.13,0,0.48227196,222.26,406.268,3.2,1773,68
Ni0.78Mo0.087Ti0.133,Al2O3,8.854,131.398,6.941,0,0.464410863,221.225,406.268,3.2,1773,59
Ni0.72Mo0.08Ti0.2,Al2O3,8.48,133.6,6.56,0,0.428688691,219.12,406.268,3.2,1773,46
Ni0.675Mo0.075Ti0.25,Al2O3,8.2,135.25,6.275,0,0.401897056,217.55,406.268,3.2,1773,37
Ni0.8Mo0.2,Al2O3,9.2,130,7.4,0,0.47631576,225.8,406.268,3.2,1773,111
Ni0.786Mo0.196Ti0.018,Al2O3,9.108,130.528,7.304,0,0.46798064,225.226,406.268,3.2,1773,103
Ni0.758Mo0.19Ti0.052,Al2O3,8.928,131.572,7.118,0,0.451310354,224.148,406.268,3.2,1773,92
Ni0.74Mo0.185Ti0.075,Al2O3,8.81,132.25,6.995,0,0.440593768,223.415,406.268,3.2,1773,84
Ni0.717Mo0.179Ti0.104,Al2O3,8.66,133.114,6.839,0,0.426900343,222.492,406.268,3.2,1773,74
Ni0.706Mo0.177Ti0.117,Al2O3,8.59,133.522,6.767,0,0.420351295,222.081,406.268,3.2,1773,74
Ni0.672Mo0.168Ti0.16,Al2O3,8.368,134.8,6.536,0,0.400108844,220.712,406.268,3.2,1773,62
Ni0.666Mo0.167Ti0.167,Al2O3,8.33,135.022,6.497,0,0.396536633,220.491,406.268,3.2,1773,60
Ni0.633Mo0.158Ti0.209,Al2O3,8.114,136.264,6.272,0,0.376889555,219.153,406.268,3.2,1773,49
Ni0.58Mo0.42,Al2O3,8.32,136.6,6.74,0,0.345328926,226.68,406.268,3.2,1773,110
Ni0.572Mo0.414Ti0.014,Al2O3,8.26,136.924,6.674,0,0.340566084,226.222,406.268,3.2,1773,92
Ni0.552Mo0.399Ti0.049,Al2O3,8.11,137.734,6.509,0,0.328658979,225.077,406.268,3.2,1773,72
Ni0.532Mo0.385Ti0.083,Al2O3,7.962,138.538,6.347,0,0.316751851,223.967,406.268,3.2,1773,63
Ni0.521Mo0.377Ti0.102,Al2O3,7.88,138.982,6.257,0,0.310202937,223.346,406.268,3.2,1773,59
Ni0.509Mo0.369Ti0.122,Al2O3,7.792,139.462,6.161,0,0.303058651,222.694,406.268,3.2,1773,54
