Metal,Substrate,Me_MagpieData mean CovalentRadius,Me_MagpieData mean Electronegativity,Me_MagpieData mean NdValence,Me_MagpieData mean SpaceGroupNumber,Me_MagpieData mean GSmagmom,Ce_MagpieData mean MeltingT,Ce_MagpieData mean NpUnfilled,Testing temperature (K),Wetting angle
Ge,Tb2O3,120,2.01,10,225,0,684.48,1.2,1423,41
Cu,Dy2O3,132,1.9,10,225,0,706.88,1.2,1423,147
Ag,Dy2O3,145,1.93,10,225,0,706.88,1.2,1423,137
Au,Dy2O3,136,2.54,10,225,0,706.88,1.2,1423,132
Sn,Dy2O3,139,1.96,10,141,0,706.88,1.2,1423,85
Ge,Dy2O3,120,2.01,10,225,0,706.88,1.2,1423,46
Cu,Ho2O3,132,1.9,10,225,0,731.68,1.2,1423,149
Ag,Ho2O3,145,1.93,10,225,0,731.68,1.2,1423,145
Au,Ho2O3,136,2.54,10,225,0,731.68,1.2,1423,144
Sn,Ho2O3,139,1.96,10,141,0,731.68,1.2,1423,96
Ge,Ho2O3,120,2.01,10,225,0,731.68,1.2,1423,57
Cu,Er2O3,132,1.9,10,225,0,740.88,1.2,1423,152
Ag,Er2O3,145,1.93,10,225,0,740.88,1.2,1423,145
Au,Er2O3,136,2.54,10,225,0,740.88,1.2,1423,140
Sn,Er2O3,139,1.96,10,141,0,740.88,1.2,1423,88
Ge,Er2O3,120,2.01,10,225,0,740.88,1.2,1423,53
Cu,Tm2O3,132,1.9,10,225,0,760.08,1.2,1423,148
Ag,Tm2O3,145,1.93,10,225,0,760.08,1.2,1423,144
Au,Tm2O3,136,2.54,10,225,0,760.08,1.2,1423,127
Sn,Tm2O3,139,1.96,10,141,0,760.08,1.2,1423,81
Ge,Tm2O3,120,2.01,10,225,0,760.08,1.2,1423,46
Cu,Yb2O3,132,1.9,10,225,0,469.68,1.2,1423,125
Ag,Yb2O3,145,1.93,10,225,0,469.68,1.2,1423,116
Au,Yb2O3,136,2.54,10,225,0,469.68,1.2,1423,113
Sn,Yb2O3,139,1.96,10,141,0,469.68,1.2,1423,81
Ge,Yb2O3,120,2.01,10,225,0,469.68,1.2,1423,51
Cu,Lu2O3,132,1.9,10,225,0,807.28,1.2,1423,149
Ag,Lu2O3,145,1.93,10,225,0,807.28,1.2,1423,147
Au,Lu2O3,136,2.54,10,225,0,807.28,1.2,1423,140
Sn,Lu2O3,139,1.96,10,141,0,807.28,1.2,1423,92
Ge,Lu2O3,120,2.01,10,225,0,807.28,1.2,1423,81
Cu,Al2O3,132,1.9,10,225,0,406.268,3.2,1423,134
Ag,Al2O3,145,1.93,10,225,0,406.268,3.2,1423,130
Au,Al2O3,136,2.54,10,225,0,406.268,3.2,1423,126
Sn,Al2O3,139,1.96,10,141,0,406.268,3.2,1423,124
Ge,Al2O3,120,2.01,10,225,0,406.268,3.2,1423,110
Ag0.96Ti0.04,Y2O3,145.6,1.9144,9.68,223.76,9.01E-07,752.48,1.2,1423,71
Ag0.96Ti0.04,Er2O3,145.6,1.9144,9.68,223.76,9.01E-07,740.88,1.2,1423,71
Ag0.96Ti0.04,Al2O3,145.6,1.9144,9.68,223.76,9.01E-07,406.268,3.2,1423,67
Au0.92Ti0.08,Y2O3,137.92,2.46,9.36,222.52,1.80E-06,752.48,1.2,1423,65
Au0.92Ti0.08,Cd2O3,137.92,2.46,9.36,222.52,1.80E-06,270.568,1.2,1423,59
Au0.92Ti0.08,Er2O3,137.92,2.46,9.36,222.52,1.80E-06,740.88,1.2,1423,67
Au0.92Ti0.08,Tm2O3,137.92,2.46,9.36,222.52,1.80E-06,760.08,1.2,1423,67
Au0.92Ti0.08,Yb2O3,137.92,2.46,9.36,222.52,1.80E-06,469.68,1.2,1423,54
Au0.92Ti0.08,Lu2O3,137.92,2.46,9.36,222.52,1.80E-06,807.28,1.2,1423,63
Au0.92Ti0.08,Al2O3,137.92,2.46,9.36,222.52,1.80E-06,406.268,3.2,1423,62
Cu0.43Ti0.57,Y2O3,147.96,1.6948,5.44,207.33,1.28E-05,752.48,1.2,1423,57
Cu0.43Ti0.57,Cd2O3,147.96,1.6948,5.44,207.33,1.28E-05,270.568,1.2,1423,49
Cu0.43Ti0.57,Tb2O3,147.96,1.6948,5.44,207.33,1.28E-05,684.48,1.2,1423,53
Cu0.43Ti0.57,Dy2O3,147.96,1.6948,5.44,207.33,1.28E-05,706.88,1.2,1423,60
Cu0.43Ti0.57,Ho2O3,147.96,1.6948,5.44,207.33,1.28E-05,731.68,1.2,1423,48
Cu0.43Ti0.57,Er2O3,147.96,1.6948,5.44,207.33,1.28E-05,740.88,1.2,1423,59
Cu0.43Ti0.57,Tm2O3,147.96,1.6948,5.44,207.33,1.28E-05,760.08,1.2,1423,58
Cu0.43Ti0.57,Yb2O3,147.96,1.6948,5.44,207.33,1.28E-05,469.68,1.2,1423,29
Cu0.43Ti0.57,Lu2O3,147.96,1.6948,5.44,207.33,1.28E-05,807.28,1.2,1423,60
Cu0.43Ti0.57,Al2O3,147.96,1.6948,5.44,207.33,1.28E-05,406.268,3.2,1423,2
Sn0.96Ti0.04,Y2O3,139.84,1.9432,9.68,143.12,9.01E-07,752.48,1.2,1423,31
Sn0.96Ti0.04,Cd2O3,139.84,1.9432,9.68,143.12,9.01E-07,270.568,1.2,1423,29
Sn0.96Ti0.04,Dy2O3,139.84,1.9432,9.68,143.12,9.01E-07,706.88,1.2,1423,32
Sn0.96Ti0.04,Ho2O3,139.84,1.9432,9.68,143.12,9.01E-07,731.68,1.2,1423,32
Sn0.96Ti0.04,Er2O3,139.84,1.9432,9.68,143.12,9.01E-07,740.88,1.2,1423,35
Sn0.96Ti0.04,Tm2O3,139.84,1.9432,9.68,143.12,9.01E-07,760.08,1.2,1423,31
Sn0.96Ti0.04,Yb2O3,139.84,1.9432,9.68,143.12,9.01E-07,469.68,1.2,1423,25
Sn0.96Ti0.04,Lu2O3,139.84,1.9432,9.68,143.12,9.01E-07,807.28,1.2,1423,41
Sn0.96Ti0.04,Al2O3,139.84,1.9432,9.68,143.12,9.01E-07,406.268,3.2,1423,59
Ge0.95Ti0.05,Y2O3,122,1.9865,9.6,223.45,1.13E-06,752.48,1.2,1423,24
Ge0.95Ti0.05,Cd2O3,122,1.9865,9.6,223.45,1.13E-06,270.568,1.2,1423,22
Ge0.95Ti0.05,Tb2O3,122,1.9865,9.6,223.45,1.13E-06,684.48,1.2,1423,27
Ge0.95Ti0.05,Dy2O3,122,1.9865,9.6,223.45,1.13E-06,706.88,1.2,1423,28
Ge0.95Ti0.05,Ho2O3,122,1.9865,9.6,223.45,1.13E-06,731.68,1.2,1423,29
Ge0.95Ti0.05,Er2O3,122,1.9865,9.6,223.45,1.13E-06,740.88,1.2,1423,32
Ge0.95Ti0.05,Tm2O3,122,1.9865,9.6,223.45,1.13E-06,760.08,1.2,1423,27
Ge0.95Ti0.05,Yb2O3,122,1.9865,9.6,223.45,1.13E-06,469.68,1.2,1423,22
Ge0.95Ti0.05,Lu2O3,122,1.9865,9.6,223.45,1.13E-06,807.28,1.2,1423,24
Ge0.95Ti0.05,Al2O3,122,1.9865,9.6,223.45,1.13E-06,406.268,3.2,1423,39
Cu,Al2O3,132,1.9,10,225,0,406.268,3.2,1423,129.1
Cu0.992Ti0.008,Al2O3,132.224,1.89712,9.936,224.752,1.80E-07,406.268,3.2,1423,87.4
Cu0.979Ti0.021,Al2O3,132.588,1.89244,9.832,224.349,4.73E-07,406.268,3.2,1423,68.4
Cu0.974Ti0.026,Al2O3,132.728,1.89064,9.792,224.194,5.86E-07,406.268,3.2,1423,49.1
Cu0.95Ti0.05,Al2O3,133.4,1.882,9.6,223.45,1.13E-06,406.268,3.2,1423,20.4
Cu0.941Ti0.059,Al2O3,133.652,1.87876,9.528,223.171,1.33E-06,406.268,3.2,1423,9.5
Cu0.924Ti0.076,Al2O3,134.128,1.87264,9.392,222.644,1.71E-06,406.268,3.2,1423,3.5
Cu0.898Ti0.102,Al2O3,134.856,1.86328,9.184,221.838,2.30E-06,406.268,3.2,1423,2.8
Cu,Y2O3,132,1.9,10,225,0,752.48,1.2,1423,141.1
Cu0.954Ti0.046,Y2O3,133.288,1.88344,9.632,223.574,1.04E-06,752.48,1.2,1423,112.6
Cu0.897Ti0.103,Y2O3,134.884,1.86292,9.176,221.807,2.32E-06,752.48,1.2,1423,80.7
Cu0.826Ti0.174,Y2O3,136.872,1.83736,8.608,219.606,3.92E-06,752.48,1.2,1423,71.6
Cu0.748Ti0.252,Y2O3,139.056,1.80928,7.984,217.188,5.68E-06,752.48,1.2,1423,61.1
Cu0.631Ti0.369,Y2O3,142.332,1.76716,7.048,213.561,8.31E-06,752.48,1.2,1423,55.8
Cu0.566Ti0.434,Y2O3,144.152,1.74376,6.528,211.546,9.78E-06,752.48,1.2,1423,55.8
Cu0.511Ti0.489,Y2O3,145.692,1.72396,6.088,209.841,1.10E-05,752.48,1.2,1423,55.1
Cu0.406Ti0.594,Y2O3,148.632,1.68616,5.248,206.586,1.34E-05,752.48,1.2,1423,54.4
Cu,Er2O3,132,1.9,10,225,0,740.88,1.2,1423,144.6
Cu0.963Ti0.037,Er2O3,133.036,1.88668,9.704,223.853,8.34E-07,740.88,1.2,1423,118.9
Cu0.903Ti0.097,Er2O3,134.716,1.86508,9.224,221.993,2.19E-06,740.88,1.2,1423,91.6
Cu0.848Ti0.152,Er2O3,136.256,1.84528,8.784,220.288,3.43E-06,740.88,1.2,1423,81.4
Cu0.733Ti0.267,Er2O3,139.476,1.80388,7.864,216.723,6.02E-06,740.88,1.2,1423,68.8
Cu0.663Ti0.337,Er2O3,141.436,1.77868,7.304,214.553,7.59E-06,740.88,1.2,1423,64.6
Cu0.577Ti0.423,Er2O3,143.844,1.74772,6.616,211.887,9.53E-06,740.88,1.2,1423,63.2
Cu0.496Ti0.504,Er2O3,146.112,1.71856,5.968,209.376,1.14E-05,740.88,1.2,1423,62.5
Cu0.412Ti0.588,Er2O3,148.464,1.68832,5.296,206.772,1.32E-05,740.88,1.2,1423,62.1
Cu,Y2O3,132,1.9,10,225,0,752.48,1.2,1423,137
Cu0.877Ge0.123,Y2O3,130.524,1.91353,10,225,0,752.48,1.2,1423,110
Cu0.843Ge0.157,Y2O3,130.116,1.91727,10,225,0,752.48,1.2,1423,90
Cu0.726Ge0.274,Y2O3,128.712,1.93014,10,225,0,752.48,1.2,1423,79
Cu0.647Ge0.353,Y2O3,127.764,1.93883,10,225,0,752.48,1.2,1423,77
Cu0.563Ge0.437,Y2O3,126.756,1.94807,10,225,0,752.48,1.2,1423,68
Cu0.491Ge0.509,Y2O3,125.892,1.95599,10,225,0,752.48,1.2,1423,62
Cu0.258Ge0.742,Y2O3,123.096,1.98162,10,225,0,752.48,1.2,1423,56
Cu0.049Ge0.951,Y2O3,120.588,2.00461,10,225,0,752.48,1.2,1423,50
Ge,Y2O3,120,2.01,10,225,0,752.48,1.2,1423,48
Cu,Al2O3,132,1.9,10,225,0,406.268,3.2,1423,137
Cu0.825Ge0.175,Al2O3,129.9,1.91925,10,225,0,406.268,3.2,1423,132
Cu0.746Ge0.254,Al2O3,128.952,1.92794,10,225,0,406.268,3.2,1423,128
Cu0.724Ge0.276,Al2O3,128.688,1.93036,10,225,0,406.268,3.2,1423,125
Cu0.604Ge0.396,Al2O3,127.248,1.94356,10,225,0,406.268,3.2,1423,125
Cu0.542Ge0.458,Al2O3,126.504,1.95038,10,225,0,406.268,3.2,1423,124
Cu0.412Ge0.588,Al2O3,124.944,1.96468,10,225,0,406.268,3.2,1423,116
Cu0.201Ge0.799,Al2O3,122.412,1.98789,10,225,0,406.268,3.2,1423,115
Cu0.093Ge0.907,Al2O3,121.116,1.99977,10,225,0,406.268,3.2,1423,113
Sn,Al2O3,139,1.96,10,141,0,406.268,3.2,1423,122.6
Sn0.995Ti0.005,Al2O3,139.105,1.9579,9.96,141.265,1.13E-07,406.268,3.2,1423,97.6
Sn0.99Ti0.01,Al2O3,139.21,1.9558,9.92,141.53,2.25E-07,406.268,3.2,1423,62.9
Sn0.978Ti0.022,Al2O3,139.462,1.95076,9.824,142.166,4.96E-07,406.268,3.2,1423,47.2
Sn0.96Ti0.04,Al2O3,139.84,1.9432,9.68,143.12,9.01E-07,406.268,3.2,1423,42.6
Sn0.941Ti0.059,Al2O3,140.239,1.93522,9.528,144.127,1.33E-06,406.268,3.2,1423,40.5
Sn,Y2O3,139,1.96,10,141,0,752.48,1.2,1423,84.7
Sn0.995Ti0.005,Y2O3,139.105,1.9579,9.96,141.265,1.13E-07,752.48,1.2,1423,75.7
Sn0.988Ti0.012,Y2O3,139.252,1.95496,9.904,141.636,2.70E-07,752.48,1.2,1423,48
Sn0.98Ti0.02,Y2O3,139.42,1.9516,9.84,142.06,4.51E-07,752.48,1.2,1423,33.2
Sn0.967Ti0.033,Y2O3,139.693,1.94614,9.736,142.749,7.44E-07,752.48,1.2,1423,29.3
Sn0.953Ti0.047,Y2O3,139.987,1.94026,9.624,143.491,1.06E-06,752.48,1.2,1423,25.7
Sn0.942Ti0.058,Y2O3,140.218,1.93564,9.536,144.074,1.31E-06,752.48,1.2,1423,24.5
Sn,Er2O3,139,1.96,10,141,0,740.88,1.2,1423,81.6
Sn0.996Ti0.004,Er2O3,139.084,1.95832,9.968,141.212,9.01E-08,740.88,1.2,1423,72.2
Sn0.989Ti0.011,Er2O3,139.231,1.95538,9.912,141.583,2.48E-07,740.88,1.2,1423,52.2
Sn0.981Ti0.019,Er2O3,139.399,1.95202,9.848,142.007,4.28E-07,740.88,1.2,1423,40.1
Sn0.975Ti0.025,Er2O3,139.525,1.9495,9.8,142.325,5.63E-07,740.88,1.2,1423,33.6
Sn0.961Ti0.039,Er2O3,139.819,1.94362,9.688,143.067,8.79E-07,740.88,1.2,1423,24.8
Sn0.951Ti0.049,Er2O3,140.029,1.93942,9.608,143.597,1.10E-06,740.88,1.2,1423,24.3
Sn0.94Ti0.06,Er2O3,140.26,1.9348,9.52,144.18,1.35E-06,740.88,1.2,1423,23.1
Cu0.94Ti0.06,Si1O2,133.68,1.8784,9.52,223.14,1.35E-06,598.8666667,2.666666667,1423,27
Cu0.94Ti0.06,Al2O3,133.68,1.8784,9.52,223.14,1.35E-06,406.268,3.2,1423,21
Cu0.94Ti0.06,Ti2O3,133.68,1.8784,9.52,223.14,1.35E-06,809.28,1.2,1423,21
Cu0.94Ti0.06,Mg1O1,133.68,1.8784,9.52,223.14,1.35E-06,488.9,1,1423,26
Cu0.425Pd0.425Ti0.15,Al2O3,139.175,1.9735,8.8,220.35,3.38E-06,406.268,3.2,1423,34
Cu0.425Pd0.425Ti0.15,Si1O2,139.175,1.9735,8.8,220.35,3.38E-06,598.8666667,2.666666667,1423,36
Cu0.425Pd0.425Ti0.15,Al2O3,139.175,1.9735,8.8,220.35,3.38E-06,406.268,3.2,1423,31
Si,Al2O3,111,1.9,0,227,0,406.268,3.2,1703,80
Si,Si1O2,111,1.9,0,227,0,598.8666667,2.666666667,1703,92
Si,Y2O3,111,1.9,0,227,0,752.48,1.2,1703,63
Si,Al2O3,111,1.9,0,227,0,406.268,3.2,1723,95
Si,Zr1O2,111,1.9,0,227,0,745.8666667,1.333333333,1723,90
Si,Mg1O1,111,1.9,0,227,0,488.9,1,1723,101
Si,Be1O1,111,1.9,0,227,0,807.4,1,1723,88
Si,Al2O3,111,1.9,0,227,0,406.268,3.2,1723,100
Si,Zr1O2,111,1.9,0,227,0,745.8666667,1.333333333,1723,96
Si,Mg1O1,111,1.9,0,227,0,488.9,1,1723,95
Si,Be1O1,111,1.9,0,227,0,807.4,1,1723,76
Si,Ti1O2,111,1.9,0,227,0,683.5333333,1.333333333,1723,107
Ni,Zr1O2,124,1.91,8,225,0.5953947,745.8666667,1.333333333,1773,118
Ni,Al2O3,124,1.91,8,225,0.5953947,406.268,3.2,1773,128
Ni,Be1O1,124,1.91,8,225,0.5953947,807.4,1,1773,128
Ni,Mg1O1,124,1.91,8,225,0.5953947,488.9,1,1773,132
Ni,Ti1O2,124,1.91,8,225,0.5953947,683.5333333,1.333333333,1773,104
Ni,Zr1O2,124,1.91,8,225,0.5953947,745.8666667,1.333333333,1773,131
Ni,Th1O2,124,1.91,8,225,0.5953947,710.8666667,1.333333333,1773,132
Ni,Al2O3,124,1.91,8,225,0.5953947,406.268,3.2,1773,133
Ni,Be1O1,124,1.91,8,225,0.5953947,807.4,1,1773,152
Ni,Mg1O1,124,1.91,8,225,0.5953947,488.9,1,1773,152
Ni,Ti1O2,124,1.91,8,225,0.5953947,683.5333333,1.333333333,1773,143
Ni,Zr1O2,124,1.91,8,225,0.5953947,745.8666667,1.333333333,1773,120
Ni,Th1O2,124,1.91,8,225,0.5953947,710.8666667,1.333333333,1773,134
Ni,Al2O3,124,1.91,8,225,0.5953947,406.268,3.2,1773,141
Ni,Be1O1,124,1.91,8,225,0.5953947,807.4,1,1773,146
Ni,Ti1O2,124,1.91,8,225,0.5953947,683.5333333,1.333333333,1773,121
Ni,Al2O3,124,1.91,8,225,0.5953947,406.268,3.2,1755,112
Ni0.97Al0.03,Al2O3,123.91,1.901,7.76,225,0.577532859,406.268,3.2,1755,113
Ni0.92Al0.08,Al2O3,123.76,1.886,7.36,225,0.547763124,406.268,3.2,1755,134
Ni0.75Al0.25,Al2O3,123.25,1.835,6,225,0.446546025,406.268,3.2,1670,94
Ni,Al2O3,124,1.91,8,225,0.5953947,406.268,3.2,1773,108
Ni,Al2O3,124,1.91,8,225,0.5953947,406.268,3.2,1773,110
Ni,Al2O3,124,1.91,8,225,0.5953947,406.268,3.2,1853,107
Ni,Al2O3,124,1.91,8,225,0.5953947,406.268,3.2,1755,109
Ni,Al2O3,124,1.91,8,225,0.5953947,406.268,3.2,1750,112
Ni0.97Al0.03,Al2O3,123.91,1.901,7.76,225,0.577532859,406.268,3.2,1750,95
Ni0.75Al0.25,Al2O3,123.25,1.835,6,225,0.446546025,406.268,3.2,1750,83
Al,Al2O3,121,1.61,0,225,0,406.268,3.2,1750,65
Cu0.425Pd0.425Ti0.15,Al2O3,139.175,1.9735,8.8,220.35,3.38E-06,406.268,3.2,1423,128
Cu0.425Pd0.425Ti0.15,Ti2O3,139.175,1.9735,8.8,220.35,3.38E-06,809.28,1.2,1423,113
Cu0.425Pd0.425Ti0.15,Ti1O1.14,139.175,1.9735,8.8,220.35,3.38E-06,936.2018692,1.065420561,1423,82
Cu0.425Pd0.425Ti0.15,Ti1O0.86,139.175,1.9735,8.8,220.35,3.38E-06,1068.886022,0.924731183,1423,72
Ni0.5Pd0.5,Al2O3,131.5,2.055,9,225,0.29769735,406.268,3.2,1523,112.1
Ni0.49Pd0.491Ti0.019,Al2O3,132.049,2.04536,8.868,224.411,0.291743831,406.268,3.2,1523,103.9
Ni0.492Pd0.492Ti0.016,Al2O3,131.956,2.04676,8.888,224.504,0.292934553,406.268,3.2,1523,98.3
Ni0.486Pd0.486Ti0.028,Al2O3,132.298,2.04058,8.804,224.132,0.289362455,406.268,3.2,1523,94.9
Ni0.471Pd0.471Ti0.058,Al2O3,133.153,2.02513,8.594,223.202,0.280432211,406.268,3.2,1523,97
Ni0.464Pd0.465Ti0.071,Al2O3,133.531,2.01858,8.504,222.799,0.276264741,406.268,3.2,1523,96.1
Ni0.453Pd0.453Ti0.094,Al2O3,134.179,2.00659,8.342,222.086,0.269715917,406.268,3.2,1523,81.2
Ni0.442Pd0.442Ti0.116,Al2O3,134.806,1.99526,8.188,221.404,0.263167071,406.268,3.2,1523,76.1
Ni0.434Pd0.435Ti0.131,Al2O3,135.241,1.98768,8.084,220.939,0.258404252,406.268,3.2,1523,69.3
Ni0.424Pd0.425Ti0.151,Al2O3,135.811,1.97738,7.944,220.319,0.252450755,406.268,3.2,1523,72.3
Ni0.412Pd0.412Ti0.176,Al2O3,136.516,1.96436,7.768,219.544,0.245306582,406.268,3.2,1523,68.3
Ni0.4Pd0.4Ti0.2,Al2O3,137.2,1.952,7.6,218.8,0.238162387,406.268,3.2,1523,57.6
Ni0.384Pd0.385Ti0.231,Al2O3,138.091,1.93618,7.384,217.839,0.22863677,406.268,3.2,1523,50.5
Ni0.374Pd0.375Ti0.251,Al2O3,138.661,1.92588,7.244,217.219,0.222683274,406.268,3.2,1523,50.7
Ni,Al2O3,124,1.91,8,225,0.5953947,406.268,3.2,1773,111
Ni0.95Cr0.05,Al2O3,124.75,1.8975,7.85,225.2,0.565624965,406.268,3.2,1773,98
Ni0.9Cr0.1,Al2O3,125.5,1.885,7.7,225.4,0.53585523,406.268,3.2,1773,91
Ni0.85Cr0.15,Al2O3,126.25,1.8725,7.55,225.6,0.506085495,406.268,3.2,1773,89
Ni0.8Cr0.2,Al2O3,127,1.86,7.4,225.8,0.47631576,406.268,3.2,1773,89
Al,Al2O3,121,1.61,0,225,0,406.268,3.2,933,103
Au,Al2O3,136,2.54,10,225,0,406.268,3.2,1423,120
Co,Al2O3,126,1.88,7,194,1.5484712,406.268,3.2,1803,113
Ge,Al2O3,120,2.01,10,225,0,406.268,3.2,1423,104
Mn,Al2O3,139,1.55,5,217,0.000310121,406.268,3.2,1823,103
Pd,Al2O3,139,2.2,10,225,0,406.268,3.2,1873,120
Co,Al2O3,126,1.88,7,194,1.5484712,406.268,3.2,1793,115
Co,Co1O1,126,1.88,7,194,1.5484712,911.4,1,1773,70
Co,Zr1O2,126,1.88,7,194,1.5484712,745.8666667,1.333333333,1773,118
Fe,Al2O3,132,1.83,6,229,2.1106628,406.268,3.2,1848,111
Fe,Be1O1,132,1.83,6,229,2.1106628,807.4,1,1823,127
Fe,Ca1O1,132,1.83,6,229,2.1106628,584.9,1,1823,132
Fe,Cr2O3,132,1.83,6,229,2.1106628,904.88,1.2,1823,88
Fe,Mg1O1,132,1.83,6,229,2.1106628,488.9,1,1823,123
Fe,U1O2,132,1.83,6,229,2.1106628,505.8666667,1.333333333,1823,123
Fe,Zr1O2,132,1.83,6,229,2.1106628,745.8666667,1.333333333,1933,115
Ni,Al2O3,124,1.91,8,225,0.5953947,406.268,3.2,1808,111
Ni,Be1O1,124,1.91,8,225,0.5953947,807.4,1,1823,127
Ni,Ca1O1,124,1.91,8,225,0.5953947,584.9,1,1773,135
Ni,Co1O1,124,1.91,8,225,0.5953947,911.4,1,1773,58
Ni,Mg1O1,124,1.91,8,225,0.5953947,488.9,1,1823,132
Ni,Ni1O1,124,1.91,8,225,0.5953947,891.4,1,1773,60
Ni,Si1O2,124,1.91,8,225,0.5953947,598.8666667,2.666666667,1773,125
Ni,Ti1O2,124,1.91,8,225,0.5953947,683.5333333,1.333333333,1773,105
Ni,U1O2,124,1.91,8,225,0.5953947,505.8666667,1.333333333,1773,112
Ni,Zr1O2,124,1.91,8,225,0.5953947,745.8666667,1.333333333,1743,121
Ni,Al2O3,124,1.91,8,225,0.5953947,406.268,3.2,1823,108
Ni,Al2O3,124,1.91,8,225,0.5953947,406.268,3.2,1730,112
Sn,Co1O1,139,1.96,10,141,0,911.4,1,1173,0.1
Sn,Ni1O1,139,1.96,10,141,0,891.4,1,1273,26.7
Sn,Yb2O3,139,1.96,10,141,0,469.68,1.2,1423,79.6
Sn,Lu2O3,139,1.96,10,141,0,807.28,1.2,1423,88.1
Sn,Al2O3,139,1.96,10,141,0,406.268,3.2,1273,120
Sn,Mg1O1,139,1.96,10,141,0,488.9,1,505,121
Sn,Si1O2,139,1.96,10,141,0,598.8666667,2.666666667,505,124
Sn,Zr1O2,139,1.96,10,141,0,745.8666667,1.333333333,1073,135.5
Ni,Mg1O1,124,1.91,8,225,0.5953947,488.9,1,1773,132.4
Ni,Mg0.9Co0.1O1,124,1.91,8,225,0.5953947,531.15,1,1773,127.6
Ni,Mg0.7Co0.3O1,124,1.91,8,225,0.5953947,615.65,1,1773,124
Ni,Mg0.5Co0.5O1,124,1.91,8,225,0.5953947,700.15,1,1773,122
Ni,Mg0.3Co0.7O1,124,1.91,8,225,0.5953947,784.65,1,1773,112
Ni,Mg0.1Co0.9O1,124,1.91,8,225,0.5953947,869.15,1,1773,74.4
Ni,CuO2,124,1.91,8,225,0.5953947,489.1233333,1.333333333,1773,58
Sn,Ni1O1,139,1.96,10,141,0,891.4,1,1275,27
Ti,Mg1O1,160,1.54,2,194,2.25E-05,488.9,1,2000,0
Al,Si1O2,121,1.61,0,225,0,598.8666667,2.666666667,1073,90
Ga,Al2O3,122,1.81,10,64,0,406.268,3.2,305,129.8
Ga,Al2O3,122,1.81,10,64,0,406.268,3.2,438,127.8
Ga,Al2O3,122,1.81,10,64,0,406.268,3.2,583,126.4
Ga,Al2O3,122,1.81,10,64,0,406.268,3.2,773,124.3
Ga,Al2O3,122,1.81,10,64,0,406.268,3.2,973,121.6
Ga,Al2O3,122,1.81,10,64,0,406.268,3.2,1173,119.4
Ga,Si1O2,122,1.81,10,64,0,598.8666667,2.666666667,313,130.9
Ga,Si1O2,122,1.81,10,64,0,598.8666667,2.666666667,437,129.5
Ga,Si1O2,122,1.81,10,64,0,598.8666667,2.666666667,589,127.9
Ga,Si1O2,122,1.81,10,64,0,598.8666667,2.666666667,773,126
Ga,Si1O2,122,1.81,10,64,0,598.8666667,2.666666667,973,123.9
Ga,Si1O2,122,1.81,10,64,0,598.8666667,2.666666667,1173,121.9
Ga0.908Ni0.092,Si1O2,122.184,1.8192,9.816,78.812,0.054776312,598.8666667,2.666666667,866,137
Ga0.908Ni0.092,Si1O2,122.184,1.8192,9.816,78.812,0.054776312,598.8666667,2.666666667,971,136
Ga0.908Ni0.092,Si1O2,122.184,1.8192,9.816,78.812,0.054776312,598.8666667,2.666666667,1076,136
Ga0.908Ni0.092,Si1O2,122.184,1.8192,9.816,78.812,0.054776312,598.8666667,2.666666667,1169,135
Ga0.721Ag0.279,Si1O2,128.417,1.84348,10,108.919,0,598.8666667,2.666666667,874,135
Ga0.721Ag0.279,Si1O2,128.417,1.84348,10,108.919,0,598.8666667,2.666666667,974,132
Ga0.721Ag0.279,Si1O2,128.417,1.84348,10,108.919,0,598.8666667,2.666666667,1072,130
Ga0.721Ag0.279,Si1O2,128.417,1.84348,10,108.919,0,598.8666667,2.666666667,1171,126
Ga0.63Sn0.37,Si1O2,128.29,1.8655,10,92.49,0,598.8666667,2.666666667,582,130
Ga0.63Sn0.37,Si1O2,128.29,1.8655,10,92.49,0,598.8666667,2.666666667,785,127
Ga0.63Sn0.37,Si1O2,128.29,1.8655,10,92.49,0,598.8666667,2.666666667,989,123
Ga0.63Sn0.37,Si1O2,128.29,1.8655,10,92.49,0,598.8666667,2.666666667,1161,119
Ga0.353In0.647,Si1O2,134.94,1.79059,10,112.525,0,598.8666667,2.666666667,440,127
Ga0.353In0.647,Si1O2,134.94,1.79059,10,112.525,0,598.8666667,2.666666667,589,125
Ga0.353In0.647,Si1O2,134.94,1.79059,10,112.525,0,598.8666667,2.666666667,784,121
Ga0.353In0.647,Si1O2,134.94,1.79059,10,112.525,0,598.8666667,2.666666667,983,118
Ga0.353In0.647,Si1O2,134.94,1.79059,10,112.525,0,598.8666667,2.666666667,1187,116
Ga,Al2O3,122,1.81,10,64,0,406.268,3.2,1173,121
Ga0.985Cr0.015,Al2O3,122.255,1.80775,9.925,66.475,0,406.268,3.2,1173,119
Ga0.972Cr0.028,Al2O3,122.476,1.8058,9.86,68.62,0,406.268,3.2,1173,121
Ga0.961Cr0.039,Al2O3,122.663,1.80415,9.805,70.435,0,406.268,3.2,1173,118
Ga0.947Cr0.053,Al2O3,122.901,1.80205,9.735,72.745,0,406.268,3.2,1173,120
Ga0.939Cr0.061,Al2O3,123.037,1.80085,9.695,74.065,0,406.268,3.2,1173,118
Ga0.921Cr0.079,Al2O3,123.343,1.79815,9.605,77.035,0,406.268,3.2,1173,120
