Metal,Substrate,Me_MagpieData mean CovalentRadius,Me_MagpieData mean Electronegativity,Me_MagpieData mean NdValence,Me_MagpieData mean SpaceGroupNumber,Me_MagpieData mean GSmagmom,Ce_MagpieData mean MeltingT,Ce_MagpieData mean NpUnfilled,Testing temperature (K),Wetting angle
Ni0.72Mo0.08Ti0.2,Al2O3,133.6,1.856,6.56,219.12,0.428688691,406.268,3.2,1773,46
Ni0.675Mo0.075Ti0.25,Al2O3,135.25,1.83625,6.275,217.55,0.401897056,406.268,3.2,1773,37
Ni0.8Mo0.2,Al2O3,130,1.96,7.4,225.8,0.47631576,406.268,3.2,1773,111
Ni0.786Mo0.196Ti0.018,Al2O3,130.528,1.95234,7.304,225.226,0.46798064,406.268,3.2,1773,103
Ni0.758Mo0.19Ti0.052,Al2O3,131.572,1.93826,7.118,224.148,0.451310354,406.268,3.2,1773,92
Ni0.74Mo0.185Ti0.075,Al2O3,132.25,1.9285,6.995,223.415,0.440593768,406.268,3.2,1773,84
Ni0.717Mo0.179Ti0.104,Al2O3,133.114,1.91627,6.839,222.492,0.426900343,406.268,3.2,1773,74
Ni0.706Mo0.177Ti0.117,Al2O3,133.522,1.91096,6.767,222.081,0.420351295,406.268,3.2,1773,74
Ni0.672Mo0.168Ti0.16,Al2O3,134.8,1.8928,6.536,220.712,0.400108844,406.268,3.2,1773,62
Ni0.666Mo0.167Ti0.167,Al2O3,135.022,1.88996,6.497,220.491,0.396536633,406.268,3.2,1773,60
Ni0.633Mo0.158Ti0.209,Al2O3,136.264,1.87217,6.272,219.153,0.376889555,406.268,3.2,1773,49
Ni0.58Mo0.42,Al2O3,136.6,2.015,6.74,226.68,0.345328926,406.268,3.2,1773,110
Ni0.572Mo0.414Ti0.014,Al2O3,136.924,2.00832,6.674,226.222,0.340566084,406.268,3.2,1773,92
Ni0.552Mo0.399Ti0.049,Al2O3,137.734,1.99162,6.509,225.077,0.328658979,406.268,3.2,1773,72
Ni0.532Mo0.385Ti0.083,Al2O3,138.538,1.97554,6.347,223.967,0.316751851,406.268,3.2,1773,63
Ni0.521Mo0.377Ti0.102,Al2O3,138.982,1.96651,6.257,223.346,0.310202937,406.268,3.2,1773,59
Ni0.509Mo0.369Ti0.122,Al2O3,139.462,1.95711,6.161,222.694,0.303058651,406.268,3.2,1773,54
